NL Subject,Subject Number,Country,Site,Date,Time,Date of Birth,Age (Years),Birth State,State,Occupation,Education,Number of Children,Fitness,Car Make,Car Model,Car Year,Gender,Race,Reported Height (cm),Reported Height (in),Reported Weight (kg),Reported Weight (lbs),Marital Status,Salary NL,Shoe Size NL,Jacket Size,Pants Size Waist,Pants Size Inseam,Blouse Size,Father Born,Mother Born,Work Posture,Work Hours,Cup Size,Bra Size NL,Size Underwear,Weight Gain
1098,11098,Netherlands,Soesterberg,2/10/1999,14:00,15/10/1968,31,Utrecht,Utrecht,Transport Storage and Communication,High School,0,6-10,Opel,Intermediate,1991,Female,Netherlands/Dutch,172.00,67.72,67.00,147.71,Single,40kGuilders-60kGuilders,39,,32,34,38,Netherlands,Netherlands,Predominantly Sitting,40,B,75,40,About the Same
1099,11099,Netherlands,Soesterberg,18/11/1999,9:00,26/11/1966,33,Morocco,Utrecht,Transport Storage and Communication,Bachelors,2,4-6,Ford,Intermediate,1986,Male,Netherlands/Other,176.00,69.29,70.00,154.32,Married,40kGuilders-60kGuilders,42,42,32,33,,Morocco,Morocco,Predominantly Walking or Cycling,50,,,M,About the Same
1105,11105,Netherlands,Soesterberg,30/11/1999,9:45,18/12/1954,45,Noord Holland,Utrecht,Administrative Support,Bachelors,2,4-6,No Response,No Response,,Female,Netherlands/Other,150.00,59.06,52.00,114.64,Single,20kGuilders-30kGuilders,37,,No Response,No Response,38,India,India,Predominantly Sitting,12,C,75,M,About the Same
1106,11106,Netherlands,Soesterberg,1/2/2000,12:45,5/9/1971,28,Noord Holland,Utrecht,Administrative Support,Middle Level Education for Profession,2,4-6,Volvo,Intermediate,1988,Female,Netherlands/Other,154.00,60.63,62.00,136.69,Married,60kGuilders-90kGuilders,37,,No Response,No Response,38,Netherlands,India,Predominantly Sitting,16,C,80,M,Strong Increase
1107,11107,Netherlands,Soesterberg,7/12/1999,9:45,20/8/1975,24,Utrecht,Noord Holland,Trade,Middle Level Education for Profession,0,0-1,Volkswagen,Intermediate,1988,Female,Netherlands/Dutch,178.00,70.08,101.00,222.67,Living Together,Don't Know,43,,36,No Response,50,Netherlands,Netherlands,Predominantly Walking or Cycling,40,D,90,XL,Strong Decrease
1112,11112,Netherlands,Soesterberg,3/11/1999,15:00,5/7/1961,38,United Kingdom,Utrecht,Homemaker,High School,0,2-3,Citroen,Compact,1987,Female,Netherlands/Other,164.00,64.57,81.00,178.57,Single,20kGuilders-30kGuilders,38,,33,No Response,42,United Kingdom,United Kingdom,Predominantly Walking or Cycling,38,D,85,L,Strong Decrease
1113,11113,Netherlands,Soesterberg,18/8/1999,13:30,20/8/1942,57,Utrecht,Noord Holland,Administrative Support,Middle Level Education for Profession,0,4-6,Renault,Station Wagon,1994,Male,Netherlands/Dutch,165.00,64.96,67.00,147.71,Living Together,60kGuilders-90kGuilders,40,56,No Response,No Response,,Netherlands,Netherlands,Predominantly Sitting,55,,,No Response,About the Same
1116,11116,Netherlands,Soesterberg,3/12/1999,14:15,15/1/1948,52,Zuid Holland,Gelderland,Other Speciality Occupation,Bachelors,1,2-3,Don't Know,Don't Know,,Female,Netherlands/Dutch,169.00,66.54,62.00,136.69,Married,60kGuilders-90kGuilders,41,,29,30,40,Netherlands,Netherlands,No Response,No Response,B,75,M,About the Same
1124,11124,Netherlands,Soesterberg,8/10/1999,10:00,4/2/1963,37,Gelderland,Utrecht,Health and Wellbeing,Bachelors,0,2-3,Volkswagen,Compact,1991,Female,Netherlands/Dutch,183.00,72.05,115.00,253.53,Married,No Response,42,,42,36,54,Netherlands,Netherlands,Predominantly Sitting,18,D,90,46,About the Same
1127,11127,Netherlands,Soesterberg,3/12/1999,9:45,15/3/1954,46,Gelderland,Utrecht,Government,High School,0,0-1,Peugeot,Compact,1992,Female,Netherlands/Dutch,165.00,64.96,67.00,147.71,Widowed,40kGuilders-60kGuilders,38,,32,32,42,Netherlands,Netherlands,Predominantly Sitting,28,C,85,40,About the Same
1128,11128,Netherlands,Soesterberg,10/12/1999,11:15,19/2/1960,40,Noord Holland,Utrecht,Trade,University,0,2-3,Volkswagen,Intermediate,1997,Female,Netherlands/Dutch,173.00,68.11,67.00,147.71,Married,120kGuilders-160kGuilders,38.5,,33,32,40,Netherlands,Netherlands,Predominantly Sitting,60,B,75,L,About the Same
1131,11131,Netherlands,Soesterberg,20/10/1999,16:00,13/3/1961,39,Utrecht,Utrecht,Financial Institutions,Lower Level Education for Profession,0,2-3,Opel,Intermediate,1985,Male,Netherlands/Dutch,198.00,77.95,90.00,198.42,Married,40kGuilders-60kGuilders,45,52,33,36,,Netherlands,Netherlands,Predominantly Sitting,40,,,6,About the Same
1137,11137,Netherlands,Soesterberg,18/12/1999,10:00,29/11/1950,49,Noord Holland,Flevoland,Transport Storage and Communication,Middle Level Education for Profession,1,0-1,Volvo,Truck,1997,Male,Netherlands/Other,182.00,71.65,85.00,187.39,Married,40kGuilders-60kGuilders,45,50,36,No Response,,Netherlands,Germany,Carrying and Lifting,50,,,6,Strong Decrease
1141,11141,Netherlands,Soesterberg,27/10/1999,11:30,27/2/1949,51,Utrecht,Utrecht,Financial Institutions,Bachelors,2,6-10,Daihatsu,Other,1993,Male,Netherlands/Dutch,188.00,74.02,86.00,189.60,Widowed,90kGuilders-120kGuilders,42,50,38,36,,Netherlands,Netherlands,Predominantly Sitting,40,,,M,About the Same
1142,11142,Netherlands,Soesterberg,8/1/2000,9:00,30/8/1962,37,Drenthe,Utrecht,Trade,High School,2,0-1,Seat,Intermediate,1996,Male,Netherlands/Dutch,190.00,74.80,74.00,163.14,Married,30kGuilders-40kGuilders,45,50,32,36,,Netherlands,Netherlands,Predominantly Sitting,38,,,5,About the Same
1144,11144,Netherlands,Soesterberg,7/12/1999,9:00,10/2/1965,35,Utrecht,Utrecht,Administrative Support,Middle Level Education for Profession,0,2-3,Saab,Intermediate,1996,Female,Netherlands/Dutch,170.00,66.93,71.00,156.53,Married,Don't Know,38,,31,30,40,Netherlands,Netherlands,Predominantly Sitting,30,C,85,38,About the Same
1146,11146,Netherlands,Soesterberg,7/10/1999,11:00,10/9/1955,44,Gelderland,Flevoland,Hotels and Restaurants,Middle Level Education for Profession,2,2-3,Seat,Compact,1991,Female,Netherlands/Dutch,173.00,68.11,73.00,160.94,Married,90kGuilders-120kGuilders,39,,No Response,No Response,44,Netherlands,Netherlands,Predominantly Walking or Cycling,30,C,85,L,About the Same
1147,11147,Netherlands,Soesterberg,26/2/2000,9:30,4/4/1965,35,Noord Holland,Flevoland,Transport Storage and Communication,Lower Level Education for Profession,1,0-1,Ford,Intermediate,1990,Male,Netherlands/Dutch,197.00,77.56,130.00,286.60,Married,60kGuilders-90kGuilders,48,No Response,No Response,No Response,,Netherlands,Netherlands,Predominantly Standing,40,,,XL,Strong Increase
1148,11148,Netherlands,Soesterberg,11/10/1999,15:00,21/5/1947,52,Zuid Holland,Utrecht,Other Speciality Occupation,High School,1,2-3,Opel,Intermediate,1986,Female,Netherlands/Other,168.00,66.14,64.00,141.10,Married,Don't Know,38,,30,30,40,India,India,Predominantly Walking or Cycling,No Response,D,75,44,About the Same
1149,11149,Netherlands,Soesterberg,23/10/1999,9:00,13/2/1950,50,Gelderland,Gelderland,Armed Services,High School,4,0-1,BMW,Intermediate,1990,Male,Netherlands/Dutch,163.00,64.17,70.00,154.32,Married,Don't Know,41,48,32,No Response,,Netherlands,Netherlands,Predominantly Standing,40,,,5,About the Same
1150,11150,Netherlands,Soesterberg,26/10/1999,13:00,18/4/1947,53,Utrecht,Flevoland,Health and Wellbeing,Bachelors,0,0-1,Daihatsu,Intermediate,1992,Female,Netherlands/Dutch,163.00,64.17,96.00,211.64,Living Together,60kGuilders-90kGuilders,39,,40,No Response,46,Netherlands,Netherlands,Predominantly Sitting,36,F,100,48,Strong Increase
1154,11154,Netherlands,Soesterberg,22/11/1999,13:00,10/5/1976,24,Noord Holland,Noord Holland,Administrative Support,Middle Level Education for Profession,0,2-3,Fiat,Compact,1999,Female,Netherlands/Dutch,172.00,67.72,62.00,136.69,Married,60kGuilders-90kGuilders,39,,No Response,No Response,36,Netherlands,Netherlands,Predominantly Sitting,32,C,75,38,About the Same
1157,11157,Netherlands,Soesterberg,31/1/2000,15:00,2/2/1947,53,Poland,Utrecht,Homemaker,High School,1,More than 10,Ford,Luxury,1988,Female,Netherlands/Other,165.00,64.96,74.00,163.14,Single,Don't Know,40,,No Response,No Response,44,Poland,Poland,Predominantly Walking or Cycling,20,C,85,L,About the Same
1159,11159,Netherlands,Soesterberg,8/11/1999,10:00,11/9/1943,56,Noord Holland,Overijssel,Unemployed,Bachelors,0,6-10,Nissan,Compact,1990,Male,Netherlands/Other,162.00,63.78,95.00,209.44,Married,60kGuilders-90kGuilders,40,No Response,No Response,No Response,,Germany,Netherlands,No Response,No Response,,,7,About the Same
1160,11160,Netherlands,Soesterberg,29/11/1999,14:15,3/5/1953,47,Zuid Holland,Gelderland,Hotels and Restaurants,High School,1,0-1,Peugeot,Compact,1993,Female,Netherlands/Dutch,161.50,63.58,55.00,121.25,Married,No Response,38,,28,No Response,36,Netherlands,Netherlands,Predominantly Walking or Cycling,20,B,80,M,About the Same
1161,11161,Netherlands,Soesterberg,11/10/1999,10:00,23/1/1956,44,Limburg,Utrecht,Trade,Lower Level Education for Profession,3,4-6,Renault,Intermediate,1987,Female,Netherlands/Dutch,163.00,64.17,64.00,141.10,Married,Don't Know,39,,31,32,40,Netherlands,Netherlands,Predominantly Walking or Cycling,20,A,75,M,Strong Decrease
1162,11162,Netherlands,Soesterberg,7/10/1999,9:00,26/11/1965,34,Noord Holland,Utrecht,Health and Wellbeing,Bachelors,3,6-10,Fiat,Intermediate,1994,Female,Netherlands/Dutch,170.00,66.93,68.00,149.91,Married,60kGuilders-90kGuilders,40,,33,32,40,Netherlands,Netherlands,Predominantly Sitting,20,C,85,L,About the Same
1164,11164,Netherlands,Soesterberg,17/8/1999,15:00,19/9/1980,19,No Response,Utrecht,Other Speciality Occupation,High School,0,2-3,No Response,No Response,,Male,Netherlands/Other,175.00,68.90,60.00,132.28,No Response,No Response,42,No Response,32,34,,Netherlands,Brazil,Predominantly Sitting,35,,,5,About the Same
1165,11165,Netherlands,Soesterberg,6/10/1999,16:00,18/1/1940,60,Friesland,Utrecht,Homemaker,High School,0,4-6,No Response,No Response,,Female,Netherlands/Dutch,168.00,66.14,86.00,189.60,Single,20kGuilders-30kGuilders,39,,36,30,48,Netherlands,Netherlands,Predominantly Walking or Cycling,No Response,C,85,46,About the Same
1166,11166,Netherlands,Soesterberg,17/8/1999,13:30,23/9/1945,54,Gelderland,Utrecht,Service Occupation,Middle Level Education for Profession,3,2-3,No Response,No Response,,Male,Netherlands/Dutch,185.00,72.83,95.00,209.44,Divorced,40kGuilders-60kGuilders,44,52,34,32,,Netherlands,Netherlands,Predominantly Sitting,38,,,6,About the Same
1167,11167,Netherlands,Soesterberg,27/10/1999,13:30,17/8/1952,47,Utrecht,Utrecht,Education,Bachelors,0,2-3,Daihatsu,Compact,1998,Female,Netherlands/Other,165.00,64.96,70.00,154.32,Single,60kGuilders-90kGuilders,37,,34,No Response,44,Netherlands,Germany,Predominantly Sitting,40,D,80,44,About the Same
1169,11169,Netherlands,Soesterberg,5/10/1999,14:00,30/3/1937,63,Overijssel,Utrecht,Homemaker,High School,2,0-1,Opel,Compact,1999,Female,Netherlands/Dutch,162.00,63.78,66.00,145.51,Married,60kGuilders-90kGuilders,38,,36,No Response,42,Netherlands,Netherlands,Predominantly Sitting,No Response,D,85,42,About the Same
1173,11173,Netherlands,Soesterberg,21/9/1999,14:00,13/1/1939,61,Zuid Holland,Utrecht,No Response,High School,2,0-1,No Response,No Response,,Female,Netherlands/Dutch,181.00,71.26,79.00,174.17,Married,30kGuilders-40kGuilders,41,,36,No Response,44,Netherlands,Netherlands,Predominantly Standing,No Response,B,90,7,About the Same
1174,11174,Netherlands,Soesterberg,20/9/1999,14:00,20/6/1961,38,Germany,Utrecht,Homemaker,High School,2,0-1,Don't Know,Don't Know,,Female,Netherlands/Other,158.00,62.20,70.50,155.43,Married,Don't Know,38,,34,29,42,Netherlands,Germany,Predominantly Standing,20,B,80,7,About the Same
1175,11175,Netherlands,Soesterberg,6/10/1999,9:00,5/12/1947,52,Utrecht,Utrecht,Homemaker,Middle Level Education for Profession,2,2-3,Nissan,Compact,1986,Female,Netherlands/Dutch,167.00,65.75,82.00,180.78,Married,No Response,39,,36,31,44,Netherlands,Netherlands,Predominantly Sitting,No Response,D,80,44,Strong Decrease
1177,11177,Netherlands,Soesterberg,12/8/1999,15:00,30/3/1967,32,Utrecht,Utrecht,Trade,High School,2,0-1,Toyota,Intermediate,1994,Female,Netherlands/Dutch,172.00,67.72,104.30,229.94,Engaged,No Response,39,,No Response,No Response,50,Netherlands,Netherlands,Predominantly Sitting,8,E,No Response,No Response,Strong Increase
1179,11179,Netherlands,Soesterberg,4/10/1999,11:00,9/8/1947,52,Zuid Holland,Utrecht,Administrative Support,Middle Level Education for Profession,1,0-1,Volkswagen,Compact,1989,Female,Netherlands/Dutch,173.00,68.11,80.00,176.37,Married,Don't Know,40,,No Response,No Response,46,Netherlands,Netherlands,Predominantly Sitting,15,C,No Response,No Response,Strong Increase
1181,11181,Netherlands,Soesterberg,9/8/1999,11:00,6/12/1954,45,Overijssel,Gelderland,Health and Wellbeing,Lower Level Education for Profession,2,0-1,Nissan,Compact,1995,Female,Netherlands/Dutch,158.00,62.20,56.50,124.56,Married,Don't Know,37,,29,30,38,Netherlands,Netherlands,Predominantly Walking or Cycling,10,A,No Response,No Response,About the Same
1182,11182,Netherlands,Soesterberg,16/9/1999,16:00,6/3/1956,44,Drenthe,Flevoland,Financial Institutions,Bachelors,0,2-3,Opel,Intermediate,1998,Female,Netherlands/Dutch,164.00,64.57,80.00,176.37,Divorced,90kGuilders-120kGuilders,37,,No Response,No Response,46,Netherlands,Netherlands,Predominantly Sitting,40,D,90,No Response,About the Same
1183,11183,Netherlands,Soesterberg,7/2/2000,11:15,29/11/1966,33,Gelderland,Utrecht,Industry,Middle Level Education for Profession,0,4-6,Citroen,Luxury,1993,Male,Netherlands/Dutch,186.00,73.23,73.00,160.94,Living Together,60kGuilders-90kGuilders,43,No Response,No Response,No Response,,Netherlands,Netherlands,Predominantly Sitting,40,,,S,Strong Increase
